Title,Production,Certificate,Genre(s),Rating
Justice League,(2001–2004),,"Animation, Action, Adventure",8.5
Blackadder the Third,(1987),,Comedy,8.6
Joey,(2004–2006),7,"Comedy, Romance",6.0
Samurai chanpurû,(2004–2005),,"Animation, Action, Adventure",8.5
Defiance,(2013–2015),,"Action, Drama, Sci-Fi",7.0
Cougar Town,(2009–2015),,"Comedy, Romance",7.0
The Affair,(2014–2019),18+,Drama,7.9
12 Monkeys,(2015–2018),18,"Adventure, Drama, Mystery",7.7
GLOW,(2017–2019),18,"Comedy, Drama, Sport",8.0
Upload,(2020– ),16,"Comedy, Mystery, Sci-Fi",8.0
Paatal Lok,(2020– ),18,"Crime, Drama, Thriller",7.8
Dead Like Me,(2003–2004),,"Comedy, Drama, Fantasy",8.1
Whose Line Is It Anyway?,(1998–2007),,"Comedy, Game-Show",8.5
Wilfred,(2011–2014),,"Comedy, Drama, Mystery",7.8
Home Improvement,(1991–1999),,"Comedy, Family",7.2
Ugly Betty,(2006–2010),,"Comedy, Drama, Romance",6.5
Power,(I) (2014–2020),18,"Crime, Drama",8.1
Roseanne,(1988–2018),,"Comedy, Drama",7.0
Robot Chicken,(2005– ),,"Animation, Adventure, Comedy",7.7
Numb3rs,(2005–2010),,"Crime, Drama, Mystery",6.9
Grace and Frankie,(2015– ),16,Comedy,8.3
Dark Matter,(2015–2017),,"Adventure, Drama, Mystery",7.5
Boy Meets World,(1993–2000),,"Comedy, Drama, Family",8.1
Jane the Virgin,(2014–2019),18,Comedy,7.8
Castlevania,(2017– ),18,"Animation, Action, Adventure",8.2
Chicago Fire,(2012– ),,"Action, Drama",7.9
Ratched,(2020– ),18,"Crime, Drama, Mystery",7.3
Torchwood,(2006–2011),,"Action, Drama, Mystery",7.7
Castle Rock,(2018–2019),18,"Drama, Fantasy, Horror",7.6
The Cleveland Show,(2009–2013),,"Animation, Adventure, Comedy",5.5
Alcatraz,(2012),,"Action, Crime, Drama",7.0
Poirot,(1989–2013),U,"Crime, Drama, Mystery",8.6
Courage the Cowardly Dog,(1999–2002),,"Animation, Adventure, Comedy",8.2
Ballers,(2015–2019),18,"Comedy, Drama, Sport",7.6
Anne,(2017–2019),16,"Drama, Family",8.7
Poketto monsutâ,(1997– ),,"Animation, Action, Adventure",7.5
Messiah,(2020),18,"Drama, Mystery, Thriller",7.6
The Colbert Report,(2005–2014),,"Comedy, News, Talk-Show",8.4
X-Men,(1992–1997),,"Animation, Action, Family",8.4
The Nanny,(1993–1999),,"Comedy, Family, Romance",6.9
Empire,(2015–2020),15+,"Drama, Music",7.4
Trailer Park Boys,(2001–2018),18,"Comedy, Crime",8.4
The Powerpuff Girls,(1998–2005),,"Animation, Action, Adventure",7.2
Love,(2016–2018),18+,"Comedy, Drama, Romance",7.7
